,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-08-10,1680,1718,1665,1692,556800,1692.0
1,2023-08-09,1663,1684,1659,1668,216100,1668.0
2,2023-08-08,1726,1726,1668,1680,243400,1680.0
3,2023-08-07,1677,1739,1676,1726,323000,1726.0
4,2023-08-04,1675,1703,1663,1692,211700,1692.0
5,2023-08-03,1705,1711,1663,1672,330200,1672.0
6,2023-08-02,1714,1749,1713,1716,255400,1716.0
7,2023-08-01,1750,1763,1711,1725,313500,1725.0
8,2023-07-31,1820,1820,1757,1767,295300,1767.0
9,2023-07-28,1795,1816,1752,1816,759500,1816.0
10,2023-07-27,1749,1797,1734,1797,255200,1797.0
11,2023-07-26,1732,1757,1720,1755,161900,1755.0
12,2023-07-25,1719,1742,1712,1737,188600,1737.0
13,2023-07-24,1716,1727,1708,1719,180000,1719.0
14,2023-07-21,1753,1753,1717,1719,278000,1719.0
15,2023-07-20,1764,1768,1755,1762,131600,1762.0
16,2023-07-19,1766,1773,1748,1764,211800,1764.0
17,2023-07-18,1773,1779,1755,1766,161300,1766.0
18,2023-07-14,1754,1780,1753,1768,189200,1768.0
19,2023-07-13,1793,1797,1752,1765,290000,1765.0
20,2023-07-12,1830,1830,1799,1802,218600,1802.0
21,2023-07-11,1787,1838,1786,1823,386300,1823.0
22,2023-07-10,1770,1795,1739,1787,437700,1787.0
23,2023-07-07,1800,1806,1775,1778,398400,1778.0
24,2023-07-06,1808,1833,1791,1822,340300,1822.0
