,日付,信用売残,信用買残,信用倍率
0,2023-08-04,77400,1099400,14.2
1,2023-07-28,126300,1091200,8.64
2,2023-07-21,105200,1165200,11.08
3,2023-07-14,94300,1237400,13.12
4,2023-07-07,102000,1113600,10.92
5,2023-06-30,143800,898400,6.25
6,2023-06-23,356100,731300,2.05
7,2023-06-16,122100,689200,5.64
8,2023-06-09,124800,623800,5.0
9,2023-06-02,110400,556200,5.04
10,2023-05-26,96300,613100,6.37
11,2023-05-19,90900,619400,6.81
12,2023-05-12,105000,515600,4.91
13,2023-04-28,101500,539500,5.32
14,2023-04-21,92800,482500,5.2
15,2023-04-14,91300,476800,5.22
16,2023-04-07,72800,546500,7.51
17,2023-03-31,111800,472200,4.22
18,2023-03-24,113400,471700,4.16
19,2023-03-17,109700,466700,4.25
20,2023-03-10,172900,408400,2.36
21,2023-03-03,172800,442900,2.56
22,2023-02-24,176200,506000,2.87
23,2023-02-17,158500,390500,2.46
