,日付,始値,高値,安値,終値,売買高,修正後終値,信用売残,信用買残,信用倍率,逆日歩,日歩日数,貸株残,融資残
0,2023-08-10,680.0,682.0,677.0,682.0,132900.0,682.0,0.0,0.0,0.0,0,0,0.0,0.0
1,2023-08-09,682.0,682.0,677.0,679.0,108500.0,679.0,0.0,0.0,0.0,-,-,0.0,15600.0
2,2023-08-08,679.0,682.0,677.0,680.0,149700.0,680.0,0.0,0.0,0.0,-,-,0.0,15600.0
3,2023-08-07,669.0,678.0,668.0,678.0,271400.0,678.0,0.0,0.0,0.0,-,-,0.0,17000.0
4,2023-08-04,666.0,669.0,663.0,669.0,185700.0,669.0,73300.0,1155100.0,15.76,-,-,0.0,14100.0
5,2023-08-03,674.0,674.0,665.0,665.0,456500.0,665.0,0.0,0.0,0.0,-,-,0.0,18100.0
6,2023-08-02,682.0,683.0,673.0,676.0,422800.0,676.0,0.0,0.0,0.0,-,-,0.0,10200.0
7,2023-08-01,691.0,691.0,677.0,677.0,977500.0,677.0,0.0,0.0,0.0,-,-,0.0,9600.0
8,2023-07-31,710.0,715.0,706.0,714.0,336200.0,714.0,0.0,0.0,0.0,-,-,0.0,14700.0
9,2023-07-28,698.0,705.0,697.0,705.0,217900.0,705.0,58600.0,949600.0,16.2,-,-,0.0,15800.0
10,2023-07-27,700.0,703.0,698.0,702.0,116900.0,702.0,0.0,0.0,0.0,-,-,6800.0,15000.0
11,2023-07-26,703.0,703.0,699.0,701.0,186400.0,701.0,0.0,0.0,0.0,-,-,7000.0,14800.0
12,2023-07-25,704.0,706.0,702.0,705.0,94200.0,705.0,0.0,0.0,0.0,-,-,7000.0,14200.0
13,2023-07-24,705.0,706.0,702.0,703.0,55000.0,703.0,0.0,0.0,0.0,-,-,7000.0,30100.0
14,2023-07-21,703.0,703.0,697.0,700.0,146500.0,700.0,72200.0,1000600.0,13.86,-,-,7000.0,30200.0
15,2023-07-20,700.0,704.0,699.0,700.0,139200.0,700.0,0.0,0.0,0.0,-,-,7000.0,30200.0
16,2023-07-19,694.0,698.0,693.0,698.0,175900.0,698.0,0.0,0.0,0.0,-,-,7000.0,15900.0
17,2023-07-18,695.0,696.0,690.0,692.0,167400.0,692.0,0.0,0.0,0.0,-,-,7000.0,16300.0
18,2023-07-14,699.0,701.0,691.0,694.0,124900.0,694.0,66700.0,923500.0,13.85,-,-,7000.0,14400.0
19,2023-07-13,700.0,701.0,694.0,698.0,86500.0,698.0,0.0,0.0,0.0,-,-,8500.0,13900.0
20,2023-07-12,702.0,702.0,697.0,699.0,122000.0,699.0,0.0,0.0,0.0,-,-,8500.0,13500.0
21,2023-07-11,700.0,704.0,698.0,699.0,131200.0,699.0,0.0,0.0,0.0,-,-,8400.0,13200.0
22,2023-07-10,698.0,701.0,695.0,697.0,192900.0,697.0,0.0,0.0,0.0,0,0,0.0,0.0
23,2023-07-07,698.0,698.0,691.0,696.0,174100.0,696.0,66300.0,901600.0,13.6,0,0,0.0,0.0
24,2023-07-06,705.0,705.0,700.0,700.0,98300.0,700.0,0.0,0.0,0.0,0,0,0.0,0.0
25,2023-06-30,0.0,0.0,0.0,0.0,0.0,0.0,54500.0,889000.0,16.31,0,0,0.0,0.0
26,2023-06-23,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,882800.0,17.66,0,0,0.0,0.0
27,2023-06-16,0.0,0.0,0.0,0.0,0.0,0.0,56800.0,879400.0,15.48,0,0,0.0,0.0
28,2023-06-09,0.0,0.0,0.0,0.0,0.0,0.0,57100.0,872800.0,15.29,0,0,0.0,0.0
29,2023-06-02,0.0,0.0,0.0,0.0,0.0,0.0,38700.0,866000.0,22.38,0,0,0.0,0.0
30,2023-05-26,0.0,0.0,0.0,0.0,0.0,0.0,40600.0,835600.0,20.58,0,0,0.0,0.0
31,2023-05-19,0.0,0.0,0.0,0.0,0.0,0.0,43600.0,808000.0,18.53,0,0,0.0,0.0
32,2023-05-12,0.0,0.0,0.0,0.0,0.0,0.0,31600.0,880000.0,27.85,0,0,0.0,0.0
33,2023-04-28,0.0,0.0,0.0,0.0,0.0,0.0,46400.0,874600.0,18.85,0,0,0.0,0.0
34,2023-04-21,0.0,0.0,0.0,0.0,0.0,0.0,41900.0,899400.0,21.47,0,0,0.0,0.0
35,2023-04-14,0.0,0.0,0.0,0.0,0.0,0.0,40700.0,902400.0,22.17,0,0,0.0,0.0
36,2023-04-07,0.0,0.0,0.0,0.0,0.0,0.0,31000.0,916600.0,29.57,0,0,0.0,0.0
37,2023-03-31,0.0,0.0,0.0,0.0,0.0,0.0,37400.0,897900.0,24.01,0,0,0.0,0.0
38,2023-03-24,0.0,0.0,0.0,0.0,0.0,0.0,751800.0,822900.0,1.09,0,0,0.0,0.0
39,2023-03-17,0.0,0.0,0.0,0.0,0.0,0.0,411600.0,955300.0,2.32,0,0,0.0,0.0
40,2023-03-10,0.0,0.0,0.0,0.0,0.0,0.0,265000.0,955500.0,3.61,0,0,0.0,0.0
41,2023-03-03,0.0,0.0,0.0,0.0,0.0,0.0,123600.0,929600.0,7.52,0,0,0.0,0.0
42,2023-02-24,0.0,0.0,0.0,0.0,0.0,0.0,64700.0,897300.0,13.87,0,0,0.0,0.0
43,2023-02-17,0.0,0.0,0.0,0.0,0.0,0.0,53800.0,911000.0,16.93,0,0,0.0,0.0
