,日付,始値,高値,安値,終値,売買高,修正後終値
0,2023-08-23,1429.0,1482.0,1422.5,1479.5,8206300,1479.5
1,2023-08-22,1400.0,1430.0,1399.0,1430.0,4697500,1430.0
2,2023-08-21,1400.0,1418.0,1395.0,1399.0,4251100,1399.0
3,2023-08-18,1402.0,1412.0,1382.0,1388.5,3220000,1388.5
4,2023-08-17,1419.5,1419.5,1378.5,1412.5,4285800,1412.5
5,2023-08-16,1401.0,1422.0,1397.5,1414.0,4007300,1414.0
6,2023-08-15,1424.0,1438.5,1410.5,1411.5,3236400,1411.5
7,2023-08-14,1427.5,1441.5,1406.5,1412.0,4118900,1412.0
8,2023-08-10,1395.5,1421.0,1389.0,1421.0,5739800,1421.0
9,2023-08-09,1340.5,1389.0,1320.0,1384.5,11769500,1384.5
10,2023-08-08,1427.0,1443.0,1415.5,1425.0,4627600,1425.0
11,2023-08-07,1404.5,1416.5,1396.5,1413.5,3991200,1413.5
12,2023-08-04,1385.5,1421.0,1381.5,1416.5,4114700,1416.5
13,2023-08-03,1404.5,1412.0,1389.5,1393.5,4133000,1393.5
14,2023-08-02,1406.0,1453.5,1397.0,1418.0,6464100,1418.0
15,2023-08-01,1411.0,1433.5,1402.5,1431.5,4868600,1431.5
16,2023-07-31,1408.5,1421.0,1394.5,1405.5,6249800,1405.5
17,2023-07-28,1384.5,1412.0,1351.0,1371.0,7613800,1371.0
18,2023-07-27,1429.5,1432.0,1408.5,1413.0,4068200,1413.0
19,2023-07-26,1434.5,1436.0,1404.0,1425.5,4740500,1425.5
20,2023-07-25,1417.5,1461.0,1413.5,1450.5,7131500,1450.5
21,2023-07-24,1396.5,1431.0,1395.0,1416.0,6770500,1416.0
22,2023-07-21,1369.0,1379.0,1357.0,1369.5,4020700,1369.5
23,2023-07-20,1357.0,1378.5,1355.5,1361.5,5072700,1361.5
24,2023-07-19,1305.0,1349.0,1295.5,1349.0,6521800,1349.0
